verbose,clip,nhid,epochs,seed,lr_patience,show_attention,reverse_src,log_interval,max_length,lr,teacher_force_prob,save,dropout,batch_size,bidirectional,data,lang,emb_size,nlayers,path_emb,use_word_emb,use_attention,cuda,debug,img_conditioning,model,train_word_emb,test_2016, test_2017
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/397/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.16, 3.81
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/396/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 3.26, 3.91
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/394/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 3.29, 3.98
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/392/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.93, 3.58
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/390/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.81, 3.35
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/388/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.73, 3.34
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/386/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.77, 3.4
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/430/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 3.51, 4.14
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/429/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.84, 4.38
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/427/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.59, 4.09
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/405/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.81, 4.42
I01,F1.0,I100,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/399/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.6, 4.13
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/389/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.78, 4.28
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/384/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 3.28, 3.85
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/382/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 3.2, 3.72
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/380/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.82, 3.41
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/378/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.83, 3.41
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/376/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.81, 3.41
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/374/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I150,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.75, 3.34
